Ship,Class,Type,First commissioned,Fate,Country or organization,Displacement (tons)
Mendoza,Mendoza,destroyer,24 January 1929,Discarded 30 April 1962,Argentina,"1,570"
Meon,River,frigate,31 December 1943,"to Canada 7 February 1944, paid off 23 April 1945",Royal Navy,"1,445"
Meredith,Gleaves,destroyer,01 March 1941,sunk 15 October 1942,United States,"1,630"
Mervine,Gleaves,destroyer,17 June 1942,"decommissioned 1949, scrapped 1969",United States,"1,630"
Meteor,M,destroyer,12 August 1942,,Royal Navy,"1,920"
Meynell,Hunt,destroyer escort,10 December 1940,scrapped 1978,Royal Navy,"1,050"
Miami,Cleveland,light cruiser,28 December 1943,scrapped 1962,United States,"11,800"
Miaoulis,Hunt,destroyer escort,25 November 1942,"paid off 1959, scrapped 1960",Hellenic Navy,"1,050"
Michel,,auxiliary cruiser,07 September 1941,sunk 17 October 1943,Kriegsmarine,"10,900"
Michele Bianchi,Marconi,submarine,3 December 1939,was sunk with all hands by HMS Tigris on 5 July.,Regia Marina,"1,195"
Micmac,Tribal,destroyer,18 September 1945,"built and launched during war, paid off 31 March 1964",Royal Canadian Navy,"1,927"
Middleton,Hunt,destroyer escort,10 January 1943,scrapped February 1958,Royal Navy,"1,050"
Midland,Flower,corvette,17 November 1941,paid off 15 July 1945,Royal Canadian Navy,925
Might,Flower modified,corvette,22 December 1942,"Formerly HMS Musk. Transferred to USN on 22 December 1942. Sold into mercantile service. 1950 whale catcher Olympic Explorer, 1956 resold and renamed Otori Maru No.3, later Kyo Maru No.12",United States,"1,015"
Mignonette,Flower,corvette,07 May 1941,Shared sinkings of U-135 15 July 43 and U-1199 21 April 45. Sold in 1946. Resold in 1948 as mercantile Alexandrouplis. Sunk on 30 November 1948.,Royal Navy,925
Mihail Kogălniceanu,Mihail Kogălniceanu,monitor,01 January 1907,"Sunk by Soviet aircraft, 24 August 1944",Romania,680
Mikuma,Mogami,heavy cruiser,29 August 1935,Sunk 6 June 1942,Imperial Japanese Navy,"13,440"
Milne,M,destroyer,06 August 1942,,Royal Navy,"1,935"
Milwaukee,Omaha,light cruiser,20 June 1923,scrapped 10 December 1949,United States,"7,050"
Mimico,Flower modified,corvette,08 February 1944,Formerly Bullrush. Sold to Honduras and converted 1950 in Germany to whale catcher Olympic Victor. Resold in 1956 to Japan as Otori Maru No. 12 and in 1962 as Kyo Maru No. 25.,Royal Canadian Navy,"1,015"
Mimosa,Flower,corvette,11 May 1941,Torpedoed and sunk by U-124 while escorting Convoy ONS 100 on 9 June 1942. French crew and 6 British crew were killed; the French crew being largely from Saint Pierre and Miquelon. 4 survivors rescued by HMCS Assiniboine.,French Navy,925
Minas Geraes,Minas Geraes,dreadnought,06 January 1910,Scrapped 1950s,Brazil,"19,200"
Minegumo,Asashio,destroyer,,,Imperial Japanese Navy,"1,961"
Minneapolis,New Orleans class,heavy cruiser,19 May 1934,"Decommissioned 10 February 1947, scrapped 1959",United States,"9,950"
Miralda,Rapana,merchant aircraft carrier,01 January 1944,returned to merchant service post-war; renamed Marisa,Royal Navy,"16,000"
Misiones,Buenos Aires,destroyer,,Discarded 3 May 1971,Argentina,"1,375"
Misoa,Maracaibo,"landing ship, tank",11 August 1941,paid off March 1945,Royal Navy,"4,193"
Mission Bay,Casablanca,escort carrier,26 May 1943,"decommissioned 21 February 1947, scrapped 1959",United States,"7,800"
Mississippi,New Mexico,battleship,25 January 1917,decommissioned 1956 (for scrap),United States,"32,000"
Missouri,Iowa,battleship,11 June 1944,decommissioned 1992; museum ship,United States,"45,000"
Mitragliere,Soldati,destroyer,01 February 1942,"Transferred to France as war reparations, 15 July 1948",Regia Marina,"1,850"
Mobile,Cleveland,light cruiser,24 March 1943,scrapped 1960,United States,"11,800"
Mocenigo,Marcello,submarine,20 November 1937,sunk off Cagliari during a 13 May 1943 USAAF air raid.,Regia Marina,"1,060"
Moffett,Porter,destroyer,28 August 1936,scrapped 1947,United States,"1,850"
Mogami,Mogami,heavy cruiser,28 July 1935,Sunk 25 October 1944,Imperial Japanese Navy,"12,400"
Mohawk,Tribal,destroyer,07 September 1938,sunk 16 April 1941,Royal Navy,"2,020"
Molotov,Kirov,heavy cruiser,14 June 1941,scrapped 4 April 1972,Soviet Navy,"8,200"
Monaghan,Farragut,destroyer,18 April 1935,foundered in typhoon 18 December 1944,United States,"1,365"
Moncton,Flower,corvette,24 April 1942,paid off 12 December 1945,Royal Canadian Navy,925
Monkshood,Flower,corvette,31 July 1941,Sold in 1947. Resold in 1948 as buoy tender W.R. Strang. Converted to whale catcher. Resold in 1957 as Toshi Maru. Scrapped in Japan in 1965.,Royal Navy,925
Monnow,River,frigate,11 May 1944,"to Canada 3 August 1944, paid off 11 June 1945",Royal Navy,"1,445"
Monowai,,armed merchant cruiser,30 August 1940,"Decommissioned 18 June 1943, then landing ship",Royal New Zealand Navy,"4,925"
Monsone,Ciclone,torpedo boat,07 June 1942,"She beat off the attack of three British MTBs off Marettimo on 16 February 1943, while escorting a four-ship convoy along with Spica class torpedo boat Sirio and the Gabbiano class corvettes Gabbiano and Antilope. The motor torpedo boats were caught in advance by the escorts' sonar. Sunk 1 March 1943 at Naples by USAAF aircraft",Regia Marina,910
Monssen,Gleaves,destroyer,14 March 1941,Sunk13 November 1942,United States,"1,630"
Montbretia,Flower,corvette,29 September 1941,sunk 18 November 1942 by U-262,Royal Norwegian Navy,925
Montcalm,La Galissonniere class,light cruiser,15 November 1937,Decommissioned 1 May 1957,French Navy,"7,600"
Montclare,Submarine tender,submarine tender,02 June 1942,scrapped October 1954,Royal Navy,"21,550"
Monterey,Independence,light aircraft carrier,17 June 1943,"decommissioned 16 January 1956, scrapped 1971",United States,"11,000"
Montgomery,Town,destroyer,23 October 1940,"to Canada 1942, paid off 22 June 1944",Royal Navy,"1,247"
Montpelier,Cleveland,light cruiser,09 September 1942,scrapped 1960,United States,"11,800"
Montreal,River,frigate,12 November 1943,paid off 15 October 1945,Royal Canadian Navy,"1,445"
Montrose,Admiralty,destroyer,14 September 1918,scrapped January 1946,Royal Navy,"1,530"
Monzambano,Curtatone,torpedo boat,04 June 1923,Survived the war. It was decommissioned in April 1951.,Regia Marina,876
Moose Jaw,Flower,corvette,19 June 1941,paid off 8 July 1945,Royal Canadian Navy,925
Morava,Körös,river monitor,15 April 1920,scuttled 11 April 1941,Royal Yugoslav Navy,448
Morden,Flower,corvette,06 September 1941,paid off 29 June 1945,Royal Canadian Navy,925
Moreno,Rivadavia,dreadnought,26 February 1915,scrapped February 1956,Argentina,"27,720"
Morosini,Marcello,submarine,28 July 1938,lost to unknown causes after 8 August 1942.,Regia Marina,"1,060"
Morris,Sims,destroyer,05 March 1940,scrapped 1947,United States,"1,570"
Morrison,Fletcher,destroyer,18 December 1943,"Sunk by kamikazes, 4 May 1945",United States,"2,050"
Möwe,1923 Raubvogel,torpedo boat,01 October 1926,"Sunk by aircraft, 16 June 1944",Kriegsmarine,"1,213"
Moyola,River,frigate,15 October 1944,"to France 15 October 1944, Decommissioned 1961",Royal Navy,"1,370"
Mugford,Bagley,destroyer,16 August 1937,scuttled after A-bomb test 1948,United States,"1,500"
Multan,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Munda,Casablanca,escort carrier,08 July 1944,"decommissioned 26 April 1946, scrapped 1960",United States,"7,800"
Murasame,Shiratsuyu,destroyer,07 January 1937,sunk 4 March 1943,Imperial Japanese Navy,"1,685"
Murena,Flutto,submarine,11 April 1943,scuttled in September 1943 at armistice. Raised by the Germans as UIT 16; destroyed in air raid in 1944,Regia Marina,930
Murphy,Benson,destroyer,25 July 1942,"decommissioned 1946, scrapped 1972",United States,"1,620"
Musashi,Yamato,battleship,05 August 1942,sunk 25 October 1944,Imperial Japanese Navy,"68,200"
Musketeer,M,destroyer,18 September 1942,scrapped 1955,Royal Navy,"1,935"
Mustin,Sims,destroyer,15 September 1939,scuttled after A-bomb test 1948,United States,"1,570"
Mutsu,Nagato,dreadnought,24 October 1921,sunk 8 June 1943,Imperial Japanese Navy,"42,850"
Muzio Attendolo,Montecuccoli,light cruiser,07 August 1935,lost 1942,Regia Marina,"3,184"
Myngs,V,destroyer,23 June 1944,,Royal Navy,"1,830"
Myōkō,Myōkō,heavy cruiser,31 July 1929,scuttled by Royal Navy 8 June 1946,Imperial Japanese Navy,"13,380"
Myosotis,Flower,corvette,30 May 1941,"Sold on 2 September 1946 to Faroe Islands as trawler Grunningur. Resold in 1949 as buoy tender, then diesel-engined whale catcher Thorørn. Scrapped in 1969 at Grimstad.",Royal Navy,925
Myrmidon,M,destroyer,01 January 1941,"to Greece as Orkan 18 Nov 1942, sunk 8 October 1943",Royal Navy,"1,920"
Nabob,Ruler,escort carrier,07 September 1943,"Crewed by RCN, paid off 10 October 1944, scrapped December 1977",Royal Navy,"11,400"
Nachi,Myōkō,heavy cruiser,28 November 1928,sunk 5 November 1944,Imperial Japanese Navy,"13,380"
Nagara,Nagara,light cruiser,21 April 1922,lost 7 August 1944,Imperial Japanese Navy,"5,088"
Nagato,Nagato,dreadnought,25 November 1920,sunk as target 29 July 1946,Imperial Japanese Navy,"42,850"
Nagpur,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Naiade,Sirena,submarine,27 March 1933,"Sunk, 14 December 1940",Regia Marina,691
Nairana,Nairana,escort carrier,12 December 1943,"to Netherlands 23 March 1946, scrapped 1971",Royal Navy,"14,280"
Najaden,Najaden,torpedo boat,03 July 1942,Sold for scrap 27 May 1966,Royal Danish Navy,782
Naka,Sendai,light cruiser,01 January 1925,sunk 17 February 1944,Imperial Japanese Navy,"7,100"
Nanaimo,Flower,corvette,26 April 1941,paid off 28 September 1945,Royal Canadian Navy,925
Nani,Marcello,submarine,29 September 1940,lost to unknown causes sometime after 3 January 1941 on its first BETASOM patrol.,Regia Marina,"1,060"
Napanee,Flower,corvette,12 May 1941,paid off 12 July 1945,Royal Canadian Navy,925
Napier,N,destroyer,28 November 1940,Decommissioned on 25/10/1945. Disposed,Royal Australian Navy,"1,773"
Narbada,Black Swan,sloop,,"Transferred to Pakistan 1948, renamed Jhelum",Royal Indian Navy,"1,250"
Narcissus,Flower,corvette,17 July 1941,Sold in April 1946 as mercantile Este.,Royal Navy,925
Narvalo,Squalo,submarine,1 January 1928,"sunk by the British destroyers Pakenham and Hursley, and RAF aircraft, in the Mediterranean Sea at 34°08′N 16°04′E, 14 January 1943.",Regia Marina,920
Narwhal,Grampus,submarine,28 February 1936,Sunk 30 July 1940 by German aircraft near Norway.,Royal Navy,"1,810"
Nashville,Brooklyn,light cruiser,06 June 1938,sold to Chile 1951 (Capitan Prat),United States,"9,475"
Nasik,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Nassau,Bogue,escort carrier,20 August 1942,"decommissioned 28 October 1946, scrapped June 1961",United States,"11,400"
Nasturtium,Flower,corvette,26 September 1940,Launched as La Paimpolaise for the French Navy. Completed for RN after the Fall of France. Shared sinking of U-556 27 June 1941. Sold in 1946.,Royal Navy,925
Natal,Loch,frigate,09 March 1945,Decommissioned 1 September 1965,South African Navy,"1,435"
Natoma Bay,Casablanca,escort carrier,14 October 1943,"decommissioned 20 May 1946, scrapped 1959",United States,"7,800"
Natori,Nagara,light cruiser,15 September 1922,lost 18 August 1944,Imperial Japanese Navy,"5,088"
Natsuzuki,Akizuki,destroyer,08 April 1945,scrapped after the war,Imperial Japanese Navy,"2,700"
Nautilo,Flutto,submarine,20 March 1943,scuttled in September 1943 at armistice. Raised by the Germans as UIT 19; destroyed in air raid in 1944,Regia Marina,930
Nazario Sauro,Sauro,destroyer,23 September 1926,"Sunk by aircraft, 3 April 1941",Regia Marina,970
Neghelli,Adua,submarine,7 November 1937,sunk on 19 January 1941 by destroyer HMS Greyhound,Regia Marina,697
Nehenta Bay,Casablanca,escort carrier,03 January 1944,"decommissioned 15 May 1946, scrapped 1960",United States,"7,800"
Nelson,Nelson,battleship,10 September 1927,"decommissioned February 1948, scrapped March 1949",Royal Navy,"34,000"
Nelson,Gleaves,destroyer,26 November 1942,"decommissioned 1947, scrapped 1969",United States,"1,630"
Nembo,Sauro,destroyer,27 January 1927,Sunk by Swordfish torpedo bombers from HMS Eagle in Tobruk harbor with a loss of 25 men.,Regia Marina,"1,058"
Nene,River,frigate,08 April 1943,"to Canada 4 June 1944, paid off 11 June 1945",Royal Navy,"1,445"
Nepal,N,destroyer,29 May 1942,"paid off 22 October 1945, sold for scrap 1955",Royal Australian Navy,"1,773"
Neptune,Leander,light cruiser,23 February 1934,lost 19 December 1941,Royal Navy,"7,000"
Nereide,Sirena,submarine,25 May 1933,"Sunk, 13 July 1943",Regia Marina,691
Nestor,N,destroyer,12 February 1941,scuttled 15 June 1942,Royal Australian Navy,"1,773"
Nevada,Nevada,battleship,11 March 1916,decommissioned 29 July 1946; sunk as a target 31 July 1948,United States,"29,000"
New Glasgow,River,frigate,22 December 1943,paid off 30 January 1967,Royal Canadian Navy,"1,445"
New Jersey,Iowa,battleship,23 May 1943,decommissioned 1991. museum ship,United States,"57,271"
New Mexico,New Mexico,battleship,20 May 1918,Scrapped November 1947,United States,"33,000"
New Orleans,New Orleans-class,heavy cruiser,12 April 1933,"Decommissioned 10 February 1947, scrapped 1959",United States,"9,950"
New Waterford,River,frigate,21 January 1944,paid off 2 December 1966,Royal Canadian Navy,"1,445"
New Westminster,Flower,corvette,31 January 1942,paid off 21 June 1945,Royal Canadian Navy,925
New York,New York,battleship,15 April 1914,"decommissioned 29 August 1946, sunk as target 8 July 1948",United States,"27,000"
Newark,Town,destroyer,26 November 1940,scrapped February 1947,Royal Navy,"1,060"
Newfoundland,Crown Colony-class (Ceylon Group),light cruiser,21 January 1943,"sold to Peru 1959, renamed Almirante Grau",Royal Navy,"8,800"
Newmarket,Town,destroyer,26 November 1940,scrapped September 1945,Royal Navy,"1,060"
Newport,Town,destroyer,01 March 1942,"June 1942, returned to RN",Royal Norwegian Navy,"1,190"
Niagara,Town,destroyer,24 September 1940,paid off 27 May 1946,Royal Canadian Navy,"1,190"
Niblack,Gleaves,destroyer,01 August 1940,Sold 16 August 1973 and broken up for scrap,United States,"1,630"
Nichelio,Acciaio,submarine,12 April 1942,surrendered at armistice Sept 43,Regia Marina,697
Nicholson,Gleaves,destroyer,03 June 1941,"to Italy 1951, sunk as target 1975",United States,"1,630"
Nicolò Zeno,Navigatori ,destroyer,27 May 1930,Scuttled in Trieste on 9 September 1943 to prevent capture by the Germans following the Italian Armistice,Regia Marina,"1,900"
Nicoloso da Recco,Navigatori ,destroyer,20 May 1930,"She shot down three Beaufort bombers while escorting a two-freighter convoy on 21 June 1942 off Tunisia. The only destroyer of this class to survive the war, she was decommissioned on 15 July 1954 and scrapped.",Regia Marina,"1,900"
Niedersachsen,minelayer,minelayer,20 December 1943,"captured French Guyana 4 December 1942, sunk 15 February 1944",Kriegsmarine,"1,794"
Nields,Benson,destroyer,15 January 1943,"decommissioned 1946, scrapped 1972",United States,"1,620"
Niels Juel,Niels Juel,coastal defence ship,23 May 1923,"beached 29 August 1943, captured by Germany, sunk 3 May 1945",Royal Danish Navy,"3,400"
Nigella,Flower,corvette,25 February 1941,Sold in 1947 as mercantile Nigelock. Sunk on 10 March 1955.,Royal Navy,925
Nigeria,Crown Colony-class (Fiji Group),light cruiser,23 September 1940,"sold to India 29 August 1957, renamed Mysore",Royal Navy,"8,000"
Ning Hai,Ning Hai,light cruiser,01 September 1932,became Ioshima (Japan),China,"2,200"
Niobe,anti-aircraft,cruiser,,sunk Kotka 16 July 1944,Kriegsmarine,"4,100"
Nizam,N,destroyer,19 December 1940,"paid off 17 October 1945, sold for scrap 1955",Royal Australian Navy,"1,773"
Noordbrabant,Holland class,cruiser,01 March 1900,Scuttled 17 May 1940,Royal Netherlands Navy,"4,033"
Nootka,Tribal,destroyer,09 August 1946,"built and launched during war, paid off 6 February 1964",Royal Canadian Navy,"1,927"
Norge,Eidsvold,coastal defence ship,07 February 1901,sunk 9 April 1940,Royal Norwegian Navy,"4,230"
Norman,N,destroyer,29 September 1941,"paid off October 1945, sold for scrap 1958",Royal Australian Navy,"1,773"
Norsyd,Flower modified,corvette,22 December 1943,"Sold in 1946 to Yugoslavia as mercantile Balboa under Panamanian flag. Resold to the ""Mossad Le'Aliya bet"" (The Institute for Immigration B) while still in Quebec as a passenger vessel Hagana. Transferred to Israel in 1948 as corvette Hagana.",Royal Canadian Navy,"1,015"
North Bay,Flower modified,corvette,25 October 1943,Sold in 1946 as mercantile Kent County II. Resold in 1950 as Galloway Kent and in 1951 as Bedford II.,Royal Canadian Navy,"1,015"
North Carolina,North Carolina,battleship,09 April 1941,"decommissioned 27 June 1947, museum ship",United States,"35,000"
Northampton,Northampton,heavy cruiser,17 May 1930,lost 1 December 1942,United States,"9,050"
Noshiro,Agano,light cruiser,,Sunk 26 October 1944,Imperial Japanese Navy,"6,650"
Nubian,Tribal,destroyer,06 December 1938,scrapped 1949,Royal Navy,"2,020"
Nürnberg,,light cruiser,02 November 1935,"transferred to Soviet Union as Admiral Makarov, scrapped 1960",Kriegsmarine,"6,980"
Nymfen,Najaden,torpedo boat,03 July 1942,Sold for scrap 27 May 1966,Royal Danish Navy,782
Nymphe,Tordenskjold,coastal defence ship,21 March 1898,"Norway Tordenskjold, captured by Germany 9 April 1940, scrapped 1948",Kriegsmarine,"3,858"
O'Brien,Sims,destroyer,02 March 1940,sunk 19 October 1942,United States,"1,570"
